formula,spacegroup,ref_gap,mp_pbe_gap,c_lo,gap_lo,c_hi,gap_hi,dGap_dc,c_star,fit_r2,n_species,natoms,volume_per_atom,density,mean_electroneg,electroneg_spread,mean_Z,max_Z,mean_row,valence_e_per_atom,grad_ratio,c_selfconsistent,pbe_gap,band_center,qc,qc_pass
BaTiO3,P4mm,3.2,1.7236999999999996,1.2,2.2146,1.7,3.1977,1.9662,1.7012,1.0,3,5,13.065419938509256,5.927475120567493 g cm^-3,2.5500000000000003,2.55,20.400000000000002,56.0,3.2,20.4,2.8737695431927293,1.2495433219127474,1.7236999999999996,-2.5507,clean,1
TiO2,I4_1/amd,3.2,2.0629999999999997,1.2,2.5224,1.7,3.5801,2.1153,1.5203,1.0,2,6,11.463995375805872,3.8561390579166384 g cm^-3,2.806666666666666,1.9,12.666666666666666,22.0,2.6666666666666665,12.666666666666666,5.0671655163717615,1.663169454497877,2.0629999999999997,-2.7602,clean,1
AlN,P6_3mc,6.19,4.0536,1.2,5.0023,1.7,6.4296,2.8546,1.6161,1.0,2,4,10.631820461487056,3.200889805888534 g cm^-3,2.325,1.43,10.0,13.0,2.5,10.0,2.517582142338349,1.16877737987808,4.0536,-2.6094,clean,1
CuGaS2,I-42d,2.43,0.7026000000000003,1.2,1.5055,1.7,2.2642,1.5175,1.8093,1.0,3,8,18.568830975179146,4.4131581525773855 g cm^-3,2.2175000000000002,0.77,23.0,31.0,3.5,23.0,3.457086090165821,1.3716660893316053,0.7026000000000003,-4.444,clean,1
SrO,Fm-3m,5.8,3.276,1.2,4.2911,1.7,6.0862,3.5902,1.6203,1.0,2,2,17.2492001283075,4.987595380590411 g cm^-3,2.195,2.49,23.0,38.0,3.5,23.0,2.8790129674499365,1.2506936911740376,3.276,-1.2732,clean,1
MgF2,P4_2/mnm,11.6,6.8163,1.2,8.9966,1.7,11.9001,5.807,1.6483,1.0,2,6,10.819651651535182,3.187243199654242 g cm^-3,3.09,2.67,10.0,12.0,2.333333333333333,10.0,3.3810411326184804,1.3563633299413214,6.8163,-2.0221,clean,1
ZrO2,P2_1/c,5.8,3.5322,1.2,4.2152,1.7,5.258,2.0857,1.9598,1.0,2,12,11.805697110602317,5.777331384412112 g cm^-3,2.7366666666666664,2.11,18.666666666666664,40.0,3.0,18.666666666666668,3.0905796372710497,1.2962663455002388,3.5322,-2.7596,clean,1
LiF,Fm-3m,14.2,8.7161,1.2,10.5114,1.7,13.3792,5.7356,1.8431,1.0,2,2,8.511075602078495,2.530431780406819 g cm^-3,2.48,3.0,6.0,9.0,2.0,6.0,3.7886089473933384,1.4364919647941257,8.7161,-1.4372,clean,1
NaF,Fm-3m,11.5,6.0951,1.2,8.6217,1.7,11.9722,6.7012,1.6295,1.0,2,2,11.944513130031952,2.9186204569056593 g cm^-3,2.455,3.05,10.0,11.0,2.5,10.0,3.8771625818310533,1.4533224602731198,6.0951,-1.0475,clean,1
LiCl,Fm-3m,9.4,6.25,1.2,8.0441,1.7,10.987,5.8858,1.4304,1.0,2,2,16.428175798764034,2.1425657374185354 g cm^-3,2.0700000000000003,2.18,10.0,17.0,2.5,10.0,2.8008938275735122,1.2334449136660701,6.25,-1.6357,clean,1
KBr,Fm-3m,7.4,4.3207,1.2,6.0856,1.7,9.5316,6.892,1.3907,1.0,2,2,35.7589483506493,2.763056203828 g cm^-3,1.89,2.14,27.0,35.0,4.0,27.0,2.804372199390486,1.2342180197878683,4.3207,-0.8929,clean,1
KI,Fm-3m,6.3,3.8513,1.2,5.3133,1.7,8.3841,6.1418,1.3607,1.0,2,2,44.453493500725266,3.1004771845919947 g cm^-3,1.74,1.8400000000000003,36.0,53.0,4.5,36.0,2.8002500146844227,1.2333017665815944,3.8513,-0.9456,clean,1
NaI,Fm-3m,5.9,3.5686999999999998,1.2,5.0905,1.7,8.0878,5.9945,1.335,1.0,2,2,33.34448138830401,3.732330356021594 g cm^-3,1.7950000000000002,1.73,32.0,53.0,4.0,32.0,2.554498216503261,1.1774029244777218,3.5686999999999998,-1.2931,clean,1
RbI,Fm-3m,6.3,3.7765,1.2,5.2586,1.7,8.3485,6.1798,1.3685,1.0,2,2,50.29110896488925,3.506111301340835 g cm^-3,1.74,1.8400000000000003,45.0,53.0,5.0,45.0,2.551444684475706,1.1766918325897628,3.7765,-0.8353,clean,1
SrF2,Fm-3m,11.2,6.7537,1.2,8.8778,1.7,11.523,5.2904,1.6389,1.0,2,3,16.24731508790774,4.279509431150581 g cm^-3,2.9699999999999998,3.0300000000000002,18.666666666666664,38.0,3.0,18.666666666666668,3.4244273477738836,1.3651149037699146,6.7537,-1.229,clean,1
BaF2,Fm-3m,11.0,6.6029,1.2,8.4923,1.7,10.3811,3.7776,1.8638,1.0,2,3,20.108967454161114,4.8259071563612554 g cm^-3,2.95,3.09,24.666666666666664,56.0,3.333333333333333,24.666666666666668,3.232267535977474,1.325919089287723,6.6029,-1.085,clean,1
BaO,Fm-3m,4.1,2.0906000000000002,1.2,3.0129,1.7,4.6048,3.1837,1.5415,1.0,2,2,21.726787602503308,5.859229670745328 g cm^-3,2.165,2.55,32.0,56.0,4.0,32.0,2.669629159577835,1.2039106678148368,2.0906000000000002,-1.3154,clean,1
MgS,Fm-3m,4.5,2.7574,1.2,3.8563,1.7,6.1439,4.5753,1.3407,1.0,2,2,17.665333353085853,2.649386380469598 g cm^-3,1.945,1.27,14.0,16.0,3.0,14.0,2.11420982110531,1.070057259511329,2.7574,-2.2945,clean,1
MgSe,Fm-3m,4.0,1.7609,1.2,2.7075,1.7,4.6645,3.914,1.5302,1.0,2,2,20.429783678846338,4.196705393655253 g cm^-3,1.93,1.2399999999999998,23.0,34.0,3.5,23.0,1.8235116314605189,0.9929176382998306,1.7609,-2.3656,clean,1
CaS,Fm-3m,4.4,2.3766000000000003,1.2,3.1229,1.7,5.3416,4.4375,1.4878,1.0,2,2,23.207028765267186,2.5810342007464775 g cm^-3,1.79,1.58,18.0,20.0,3.5,18.0,2.5193217158864036,1.1691852502634457,2.3766000000000003,-1.8106,clean,1
CaSe,Fm-3m,3.85,2.0764,1.2,2.7386,1.7,4.5702,3.6632,1.5034,1.0,2,2,26.204374410884746,3.7716460296000034 g cm^-3,1.775,1.5499999999999998,27.0,34.0,4.0,27.0,2.3783878498611086,1.1356713464649988,2.0764,-1.8924,clean,1
CaTe,Fm-3m,3.6,1.5526999999999997,1.2,2.132,1.7,3.6578,3.0516,1.6811,1.0,2,2,32.64081143973119,4.265149322703968 g cm^-3,1.55,1.1,36.0,52.0,4.5,36.0,2.3174416843714725,1.120871385412908,1.5526999999999997,-1.9725,clean,1
SrS,Fm-3m,4.3,2.4968000000000004,1.2,3.3991,1.7,5.645,4.4917,1.4006,1.0,2,2,27.653657030425713,3.593405710632723 g cm^-3,1.7650000000000001,1.6300000000000001,27.0,38.0,4.0,27.0,2.419202053583693,1.145476737057925,2.4968000000000004,-1.5037,clean,1
SrSe,Fm-3m,3.8,2.2313,1.2,2.9865,1.7,4.9353,3.8975,1.4087,1.0,2,2,30.950592793244624,4.4686155053967545 g cm^-3,1.75,1.5999999999999999,36.0,38.0,4.5,36.0,2.3574966727255293,1.1306197969068266,2.2313,-1.5927,clean,1
SrTe,Fm-3m,3.4,1.7616,1.2,2.4094,1.7,4.0637,3.3086,1.4994,1.0,2,2,37.79217772326893,4.728243242960959 g cm^-3,1.525,1.1500000000000001,45.0,52.0,5.0,45.0,2.334824947563346,1.1251123140765016,1.7616,-1.6679,clean,1
BaS,Fm-3m,3.9,2.1513,1.2,3.0613,1.7,5.2915,4.4605,1.388,1.0,2,2,33.56310059011856,4.190346371817634 g cm^-3,1.735,1.69,36.0,56.0,4.5,36.0,2.352986622110488,1.1295263191985012,2.1513,-1.221,clean,1
BaSe,Fm-3m,3.6,1.9487999999999999,1.2,2.7273,1.7,4.6484,3.8422,1.4271,1.0,2,2,37.04665630367234,4.847306733348998 g cm^-3,1.72,1.6599999999999997,45.0,56.0,5.0,45.0,2.246396856069159,1.10337123860649,1.9487999999999999,-1.3215,clean,1
CdO,Fm-3m,2.2,0.0,1.2,0.7299,1.7,2.7459,4.032,1.5646,1.0,2,2,13.160850973190975,8.10093838886593 g cm^-3,2.565,1.75,28.0,48.0,3.5,28.0,2.899962516805645,1.2552794496237123,0.0,-2.3546,clean,1
BeO,P6_3mc,10.6,7.463099999999999,1.2,8.9781,1.7,10.754,3.5518,1.6566,1.0,2,4,6.8775573858881955,3.019437475991751 g cm^-3,2.505,1.8699999999999999,6.0,8.0,2.0,6.0,3.068630695929947,1.2916124893854166,7.463099999999999,-2.9098,clean,1
BeS,F-43m,5.5,3.1433,1.2,4.2734,1.7,6.5629,4.579,1.4679,1.0,2,2,14.440360524222232,2.361792329991434 g cm^-3,2.075,1.01,10.0,16.0,2.5,10.0,2.4272397624704105,1.1473979792815159,3.1433,-2.9595,clean,1
BeSe,F-43m,4.0,2.6701,1.2,3.5719,1.7,5.4428,3.7417,1.3144,1.0,2,2,17.252886500828193,4.233530574087789 g cm^-3,2.06,0.9799999999999998,19.0,34.0,3.0,19.0,2.0600586131619556,1.056110018661344,2.6701,-2.9931,clean,1
BeTe,F-43m,2.8,2.0172,1.2,2.7673,1.7,4.0177,2.5009,1.2131,1.0,2,2,22.700254921408447,4.996636953414316 g cm^-3,1.835,0.53,28.0,52.0,3.5,28.0,2.4532517754288286,1.153593886761048,2.0172,-2.9903,clean,1
MgTe,P6_3mc,3.6,2.3611999999999997,1.2,3.4894,1.7,5.4721,3.9654,1.2279,1.0,2,4,33.9296334358211,3.7171664024752915 g cm^-3,1.705,0.79,32.0,52.0,4.0,32.0,2.262113354488613,1.1072661817852918,2.3611999999999997,-1.7581,clean,1
AgBr,Fm-3m,2.7,0.7303999999999999,1.2,1.9527,1.7,3.9298,3.9542,1.389,1.0,2,2,24.19196894072009,6.444350901852379 g cm^-3,2.445,1.03,41.0,47.0,4.5,41.0,2.699119316102445,1.2106080238820518,0.7303999999999999,-3.0691,clean,1
AgGaS2,I-42d,2.7,0.9622000000000002,1.2,2.0163,1.7,3.7105,3.3884,1.4018,1.0,3,8,21.48882029046021,4.669724656821025 g cm^-3,2.225,0.77,27.5,47.0,3.75,27.5,2.8252644364037165,1.2388514935902177,0.9622000000000002,-3.4984,clean,1
AgGaSe2,I-42d,1.8,0.24919999999999987,1.2,1.2803,1.7,3.1388,3.7171,1.3398,1.0,3,8,24.842577653641687,5.60659870575242 g cm^-3,2.21,0.7399999999999998,36.5,47.0,4.25,36.5,3.159936799039304,1.31086461068585,0.24919999999999987,-3.1313,clean,1
CuAlSe2,I-42d,2.7,0.8929,1.2,1.7874,1.7,2.6903,1.8059,1.7054,1.0,3,8,21.570986832206113,4.781385838476708 g cm^-3,2.1525,0.9399999999999997,27.5,34.0,3.75,27.5,3.0117588688638803,1.2794758784535478,0.8929,-3.9519,clean,1
CuInS2,I-42d,1.5,0.0,1.2,0.5949,1.7,1.2631,1.3366,1.8772,1.0,3,8,21.191786307715528,4.750316402887372 g cm^-3,2.21,0.8,27.5,49.0,3.75,27.5,3.4171103396414777,1.36364286943399,0.0,-3.8732,clean,1
ZnGeP2,I-42d,2.3,1.1782000000000004,1.2,1.8788,1.7,3.4039,3.0501,1.3381,1.0,3,8,19.86342363563133,4.179818738428285 g cm^-3,2.01,0.54,23.0,32.0,3.5,23.0,3.2588564260967128,1.331410733223214,1.1782000000000004,-3.5987,clean,1
KTaO3,Pm-3m,3.8,2.0976,1.2,2.8733,1.7,4.2507,2.7549,1.5364,1.0,3,5,12.75092400607338,6.981426041917768 g cm^-3,2.528,2.62,23.200000000000003,73.0,3.2,23.2,3.1092853364439397,1.3002195067222402,2.0976,-2.8013,clean,1
BaZrO3,Pm-3m,5.3,3.0441000000000003,1.2,3.7579,1.7,4.7874,2.059,1.949,1.0,3,5,14.949092648283042,6.143794292287296 g cm^-3,2.508,2.55,24.000000000000004,56.0,3.4000000000000004,24.0,2.8212646994443196,1.2379657625311817,3.0441000000000003,-2.167,clean,1
GeS,Pnma,1.6,1.2368000000000006,1.2,1.588,1.7,2.3914,1.6069,1.2075,1.0,2,8,21.962351447886913,3.9582906999032064 g cm^-3,2.295,0.5700000000000003,24.0,32.0,3.5,24.0,2.456578469281925,1.154383911742723,1.2368000000000006,-3.6996,clean,1
GeSe,Pnma,1.1,0.9017000000000004,1.2,1.2486,1.7,2.021,1.5449,1.1038,1.0,2,8,24.854480153987478,5.0642323021222575 g cm^-3,2.28,0.54,33.0,34.0,4.0,33.0,2.3577444969933086,1.1306798524471757,0.9017000000000004,-3.3833,clean,1
InSe,R3m,1.3,0.5385,1.2,1.2031,1.7,2.8914,3.3766,1.2287,1.0,2,4,30.520962003638815,5.271392481161825 g cm^-3,2.165,0.7699999999999998,41.5,49.0,4.5,41.5,5.699996609357406,1.7646975307475727,0.5385,-2.9409,clean,1
ScN,Fm-3m,0.9,0.0,1.2,0.5942,1.7,2.1813,3.1743,1.2963,1.0,2,2,11.473936086228862,4.266614349207079 g cm^-3,2.2,1.68,14.0,21.0,3.0,14.0,2.7254523286275596,1.2165575216032207,0.0,-2.4758,clean,1
HfO2,P2_1/c,5.8,4.0161999999999995,1.2,4.987,1.7,6.6824,3.3908,1.4398,1.0,2,12,11.376381614199497,10.241243286163224 g cm^-3,2.7266666666666666,2.1399999999999997,29.333333333333332,72.0,3.333333333333333,29.333333333333332,3.0152549562886564,1.280225241738383,4.0161999999999995,-2.9265,clean,1
