formula,spacegroup,ref_gap,mp_pbe_gap,c_lo,gap_lo,c_hi,gap_hi,dGap_dc,c_star,fit_r2,n_species,natoms,volume_per_atom,density,mean_electroneg,electroneg_spread,mean_Z,max_Z,mean_row,valence_e_per_atom,grad_ratio,c_selfconsistent,pbe_gap,band_center,qc,qc_pass
KMgF3,Pm-3m,8.5,6.9536999999999995,1.2,9.1111,1.7,11.899,5.5758,1.0904,1.0,3,5,12.594405692586957,3.1748449848473816 g cm^-3,2.814,3.16,11.600000000000001,19.0,2.6,11.6,3.429557788555936,1.366146107161415,6.9536999999999995,-1.6528,clean,1
MgAl2O4,Fd-3m,7.8,5.1095,1.2,6.7236,1.7,8.7174,3.9876,1.4699,1.0,3,14,9.421263100722586,3.5821359211042227 g cm^-3,2.6128571428571425,2.13,10.0,13.0,2.4285714285714284,10.0,2.7817684512777014,1.2291854869547867,5.1095,-2.4628,clean,1
CaTiO3,Pnma,3.5,2.3053,1.2,2.8437,1.7,3.8449,2.0023,1.5278,1.0,3,20,11.204986884650033,4.02925941391082 g cm^-3,2.572,2.44,13.2,22.0,2.8,13.2,3.162859060164523,1.3114761517919882,2.3053,-2.3683,clean,1
SrZrO3,Pnma,5.4,3.6122,1.2,4.3197,1.7,5.2842,1.929,1.76,1.0,3,20,13.910998301560914,5.415575890210902 g cm^-3,2.52,2.49,20.400000000000002,40.0,3.2,20.4,2.9620545122779838,1.2687746510948066,3.6122,-2.0537,clean,1
BaSnO3,Pm-3m,3.1,0.3730000000000002,1.2,1.9441,1.7,4.1784,4.4686,1.4587,1.0,3,5,14.22725618659581,7.097114448493584 g cm^-3,2.6340000000000003,2.55,26.000000000000004,56.0,3.4000000000000004,26.0,2.8425058169761677,1.2426623942156818,0.3730000000000002,-2.3835,clean,1
LiNbO3,R3c,3.8,3.3358000000000003,1.2,3.8119,1.7,4.4914,1.3591,1.1913,1.0,3,20,10.72655904894241,4.577485851594526 g cm^-3,2.58,2.46,13.600000000000001,41.0,2.5999999999999996,13.6,3.542670403833256,1.388688537655135,3.3358000000000003,-2.3663,clean,1
SnS2,P-3m1,2.2,1.5565000000000002,1.2,2.2695,1.7,4.1116,3.6842,1.1811,1.0,2,3,24.275407719018727,4.169006022492416 g cm^-3,2.373333333333333,0.6200000000000001,27.33333333333333,50.0,3.6666666666666665,27.333333333333332,2.7098466769734886,1.2130351770340941,1.5565000000000002,-2.2519,clean,1
GaS,P6_3/mmc,2.5,2.0036,1.2,2.3387,1.7,3.48,2.2825,1.2707,1.0,2,8,22.383731542273427,3.775575805845145 g cm^-3,2.1950000000000003,0.77,23.5,31.0,3.5,23.5,2.8254268058995105,1.2388874366342966,2.0036,-3.6258,clean,1
GaTe,C2/m,1.7,1.0116,1.2,1.6947,1.7,3.0524,2.7154,1.2019,1.0,2,12,31.78537706536487,5.154297046168303 g cm^-3,1.955,0.29000000000000004,41.5,52.0,4.5,41.5,4.610841530118269,1.5859614508627105,1.0116,-2.9465,clean,1
GaSe,P6_3/mmc,2.0,1.2386999999999997,1.2,1.8933,1.7,3.1672,2.5478,1.2419,1.0,2,8,25.460904713085867,4.848490908345342 g cm^-3,2.1799999999999997,0.7399999999999998,32.5,34.0,4.0,32.5,2.721290942960145,1.2156192452997185,1.2386999999999997,-3.4983,clean,1
